VehicleName	      TimeStamp	      POS_X	POS_Y	POS_Z	      Q_W	     Q_X	Q_Y	Q_Z	      vx	vy	vz	   Angular_vx	Angular_vy	Angular_vz	  AccX	      AccY	      AccZ	      AccAX	AccAY	AccAZ	Pressure	ImageFile
SimpleFlight	1674394789785	0	0	0.0673479	0.984808	-0	0	0.173648	0	0	0.241512	-0.000489198	-0.00132031	0.00160461	0.0810928	0.00550332	-9.85735	0	0	0	99871.9	img_1674394790569465200.png;img_1674394790571505400.ppm;img_1674394790726410000.ppm
SimpleFlight	1674394790190	0	0	0.162157	0.984808	-0	0	0.173648	0	0	0.22769	-0.00264727	-0.0017267	0.000542297	0.00352751	0.0302295	-9.82308	0	0	0	99865.5	img_1674394791042117300.png;img_1674394791042740600.ppm;img_1674394791160327700.ppm
SimpleFlight	1674394790850	0	0	0.307732	0.984808	-0	0	0.173648	0	0	0.214961	-0.00120959	-0.000920193	-0.00228881	-0.00573775	0.0215027	-9.78867	0	0	0	99871.9	img_1674394791711728200.png;img_1674394791712303000.ppm;img_1674394791810297800.ppm
SimpleFlight	1674394791255	0	0	0.393859	0.984808	-0	0	0.173648	0	0	0.210665	0.000149063	-0.000603731	-0.00179825	-0.0164326	0.010394	-9.82333	0	0	0	99872.1	img_1674394792066721300.png;img_1674394792067912500.ppm;img_1674394792200141400.ppm
SimpleFlight	1674394792164	0	0	0.582796	0.984808	-0	0	0.173648	0	0	0.205822	0.000717621	0.00170225	0.000802655	0.0533093	0.0782579	-9.82443	0	0	0	99875.9	img_1674394792749780000.png;img_1674394792751165100.ppm;img_1674394793851624200.ppm
SimpleFlight	1674394792974	0	0	0.748742	0.984808	-0	0	0.173648	0	0	0.204156	0.0017157	0.000200296	-0.00167444	0.0155465	0.0402947	-9.86169	0	0	0	99872.7	img_1674394794530990800.png;img_1674394794543108500.ppm;img_1674394794691267900.ppm
SimpleFlight	1674394793472	0	0	0.850281	0.984808	-0	0	0.173648	0	0	0.203666	-0.000420754	0.000680026	-0.00144689	-0.00738076	-0.00312405	-9.85995	0	0	0	99875.3	img_1674394795168429600.png;img_1674394795181227400.ppm;img_1674394795288363700.ppm
SimpleFlight	1674394794126	0	0	0.983356	0.984808	-0	0	0.173648	0	0	0.203322	0.00475953	0.00150967	-0.0013823	-0.0159722	0.0018662	-9.74287	0	0	0	99882.8	img_1674394795817947200.png;img_1674394795818901900.ppm;img_1674394795932357400.ppm
SimpleFlight	1674394794849	0	0	1.13029	0.984808	-0	0	0.173648	0	0	0.203142	0.000274721	-0.00154576	-0.000327117	0.0414779	-0.00754826	-9.83733	0	0	0	99883.9	img_1674394796521412700.png;img_1674394796527234000.ppm;img_1674394796646413000.ppm
SimpleFlight	1674394795449	0	0	1.25215	0.984808	-0	0	0.173648	0	0	0.20307	0.000444923	-0.000224443	-0.00203776	0.0702705	0.0261972	-9.81152	0	0	0	99886.5	img_1674394797160336300.png;img_1674394797161140700.ppm;img_1674394797258315700.ppm
SimpleFlight	1674394796163	0	0	1.39713	0.984808	-0	0	0.173648	0	0	0.203028	-0.0035252	0.00279177	0.000777372	-0.0530936	-0.0284567	-9.75615	0	0	0	99884.6	img_1674394797849261300.png;img_1674394797850367800.ppm;img_1674394797962230500.ppm
SimpleFlight	1674394796793	0	0	1.52503	0.984808	-0	0	0.173648	0	0	0.20301	0.000888774	0.000151528	0.000707363	0.00452066	-0.0220825	-9.81936	0	0	0	99879.3	img_1674394798512740200.png;img_1674394798513384900.ppm;img_1674394798613930800.ppm
SimpleFlight	1674394797426	0	0	1.65354	0.984808	-0	0	0.173648	0	0	0.203001	0.000153333	0.00366803	-0.00329127	-0.0102281	0.0181246	-9.79725	0	0	0	99886.4	img_1674394799163885900.png;img_1674394799176424600.ppm;img_1674394799261104200.ppm
SimpleFlight	1674394797855	0	0	1.74063	0.984808	-0	0	0.173648	0	0	0.202997	0.00106889	-0.000358012	-0.00243055	0.0575741	0.00102146	-9.75773	0	0	0	99890.7	img_1674394799524909000.png;img_1674394799525509700.ppm;img_1674394799612663400.ppm
SimpleFlight	1674394798602	0	0	1.71335	0.984808	0	0	0.173648	0	0	0	0.00169927	0.000930318	0.00109942	-0.0420281	-0.0715566	-9.82183	0	0	0	99887.9	img_1674394800184642100.png;img_1674394800197154600.ppm;img_1674394800389360900.ppm
